rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,note_accumulated_error_counts,err_failed_mode_count,err_failed_XI_format,err_failed_checkInformation,err_trigger_unknown_error_occured,err_bad_uppercase_character,err_bad_lowercase_character,err_bad_three_adj_element,err_bad_first_element,err_bad_character,err_wrong_element_length
1720654914133693249,,19,,1720654914,133198738,"""parsed arduino diag""",'',0,0,0,0,0,13,0,0,0,0
1720654915133028676,,20,,1720654915,132398128,"""parsed arduino diag""",'',0,0,0,0,0,13,0,0,0,0
1720654915139138023,,21,,1720654915,138863086,"""parsed arduino diag""",'',0,0,0,0,0,13,0,0,0,0
1720654915932167424,,22,,1720654915,931234598,"""parsed arduino diag""",'',0,0,0,0,0,13,0,0,0,0
1720654915932351079,,23,,1720654915,932140588,"""parsed arduino diag""",'',0,0,0,0,0,13,0,0,0,0
1720654916132060909,,24,,1720654916,131771802,"""parsed arduino diag""",'',0,0,0,0,0,13,0,0,0,0
1720654916141240742,,25,,1720654916,140276670,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654917135811764,,26,,1720654917,135293006,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654918136936792,,27,,1720654918,134513854,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654919134183657,,28,,1720654919,133967161,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654920133504382,,29,,1720654920,133260965,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654921133269807,,30,,1720654921,132765531,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654922132469965,,31,,1720654922,132184267,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654923136160819,,32,,1720654923,135702848,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654924135548601,,33,,1720654924,135211944,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654925134713460,,34,,1720654925,134398460,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654926134039504,,35,,1720654926,133738756,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654927133443069,,36,,1720654927,133292436,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654928133105738,,37,,1720654928,132714986,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654929136559103,,38,,1720654929,136024236,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654930135782536,,39,,1720654930,135420560,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654931134967911,,40,,1720654931,134640216,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654932134301751,,41,,1720654932,134099245,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654933134608353,,42,,1720654933,133666515,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654934133171615,,43,,1720654934,132956504,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654935132765487,,44,,1720654935,132453918,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654936132041338,,45,,1720654936,131762742,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654937135497630,,46,,1720654937,135081768,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654938134816822,,47,,1720654938,134527206,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654939134245090,,48,,1720654939,133921384,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654940133641209,,49,,1720654940,133361816,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654941133102289,,50,,1720654941,132778406,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654942132442632,,51,,1720654942,132174491,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654943135639981,,52,,1720654943,135365009,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654944134988667,,53,,1720654944,134778976,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654945134552657,,54,,1720654945,134197473,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654946133952723,,55,,1720654946,133691072,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654947133341641,,56,,1720654947,133045673,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654948132718984,,57,,1720654948,132470846,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654949132348837,,58,,1720654949,131997585,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654950136552591,,59,,1720654950,135611534,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654951134862439,,60,,1720654951,134641885,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654952135228182,,61,,1720654952,134437084,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654953133984255,,62,,1720654953,133583068,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654954133177486,,63,,1720654954,132932662,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654955136485734,,64,,1720654955,136209249,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654956135803354,,65,,1720654956,135557651,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654957135310471,,66,,1720654957,135077953,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654958134911608,,67,,1720654958,134548664,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654959138161290,,68,,1720654959,134311199,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654960133575601,,69,,1720654960,133280515,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654961135477427,,70,,1720654961,132727861,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654962132403603,,71,,1720654962,132114410,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654963135426814,,72,,1720654963,135228157,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654964135020766,,73,,1720654964,134745121,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654965134519354,,74,,1720654965,134231567,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654966134145340,,75,,1720654966,133679866,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654967133385618,,76,,1720654967,133089780,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654968137223454,,77,,1720654968,136550188,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654969135953198,,78,,1720654969,135643959,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654970135522585,,79,,1720654970,135153293,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654971135195231,,80,,1720654971,134725093,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654972134252357,,81,,1720654972,134004831,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654973133787740,,82,,1720654973,133448123,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654974133306232,,83,,1720654974,132892131,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654975132538623,,84,,1720654975,132279634,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654976136930001,,85,,1720654976,135832548,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654977136180059,,86,,1720654977,135775566,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654978135778052,,87,,1720654978,135188341,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654979134096979,,88,,1720654979,133784770,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654980134285482,,89,,1720654980,133626461,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654981133037030,,90,,1720654981,132709026,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654982136207345,,91,,1720654982,135889768,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654983137013915,,92,,1720654983,136277675,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654984134893980,,93,,1720654984,134657382,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654985134540089,,94,,1720654985,134248495,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654986133905167,,95,,1720654986,133604764,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654987133512350,,96,,1720654987,133109569,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654988132769834,,97,,1720654988,132480144,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654989136919251,,98,,1720654989,136270999,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654990137143316,,99,,1720654990,135137319,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654991136816827,,100,,1720654991,135978698,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654992134372057,,101,,1720654992,133928298,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654993133807387,,102,,1720654993,133526563,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654994133335612,,103,,1720654994,132908105,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654995136228396,,104,,1720654995,135985374,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654996135669669,,105,,1720654996,135417699,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654997136236979,,106,,1720654997,136005401,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654998135338926,,107,,1720654998,134693861,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720654999134118067,,108,,1720654999,133848428,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655000135080226,,109,,1720655000,134199380,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655001132823453,,110,,1720655001,132533788,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655002136025255,,111,,1720655002,135765314,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655003137186111,,112,,1720655003,135780811,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655004135139034,,113,,1720655004,134712219,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655005134318352,,114,,1720655005,134042978,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655006133749522,,115,,1720655006,133429765,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655007133149507,,116,,1720655007,132896661,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655008136439844,,117,,1720655008,136151790,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655009137426789,,118,,1720655009,137029886,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655010135623342,,119,,1720655010,135232686,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655011136177499,,120,,1720655011,134675741,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655012134589459,,121,,1720655012,134083986,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655013133979498,,122,,1720655013,133317470,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655014138358469,,123,,1720655014,136956214,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655015136323300,,124,,1720655015,135984659,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655016135941236,,125,,1720655016,135436296,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655017135096829,,126,,1720655017,134878396,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655018135164639,,127,,1720655018,134623050,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655019135497279,,128,,1720655019,133752346,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655020133415529,,129,,1720655020,133093595,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655021139322889,,130,,1720655021,136411666,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655022136271901,,131,,1720655022,135860204,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655023135633658,,132,,1720655023,135233640,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655024135454332,,133,,1720655024,135128974,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655025134340106,,134,,1720655025,134062051,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
1720655026133762789,,135,,1720655026,133520364,"""parsed arduino diag""",'',1,0,0,0,0,13,0,0,0,0
